user_id,total_filters,different_fields_used,days_active_filtering,most_used_field
RZ252629,108,2,1,medewerkerNaam
RZ250658,74,3,2,datumUitDienst
IC208299,60,2,2,datumUitDienst
IC278419,56,2,2,datumUitDienst
RZ331860,54,4,2,datumUitDienst
IC152940,51,2,2,medewerkerCode
RZ242259,50,2,2,datumUitDienst
RV328679,48,3,2,datumUitDienst
IC112226,47,2,2,medewerkerNaam
RY1002028,42,5,2,medewerkerNaam
RY496094,41,3,2,datumUitDienst
RY247959,39,2,2,medewerkerCode
RY541328,39,2,2,medewerkerNaam
RZ306485,39,5,1,datumUitDienst
RY963393,35,4,2,datumUitDienst
IC274955,34,3,2,datumUitDienst
RZ331874,34,2,2,medewerkerNaam
RO536473,34,2,2,datumUitDienst
RT187424,34,2,2,datumUitDienst
RY457745,33,3,2,datumUitDienst
RY871083,32,2,2,datumUitDienst
RY866785,32,2,1,datumUitDienst
RZ246063,32,2,1,medewerkerNaam
RZ146655,32,2,2,datumUitDienst
IC267835,30,2,1,datumUitDienst
UA008466,30,3,1,datumUitDienst
RZ321559,30,2,2,medewerkerNaam
RY584648,30,3,2,datumUitDienst
IC290930,30,3,2,datumUitDienst
RX460050,29,3,2,datumUitDienst
IC208322,28,2,2,datumUitDienst
RZ306888,28,2,2,datumUitDienst
RY643881,28,2,1,medewerkerNaam
RY658632,28,3,2,datumUitDienst
RO654379,28,2,2,medewerkerNaam
RY906057,28,2,1,datumUitDienst
IC273698,26,2,2,medewerkerNaam
RZ317970,26,2,2,medewerkerNaam
RZ293339,26,2,1,datumUitDienst
RY909962,26,2,2,datumUitDienst
UA010317,26,2,1,datumUitDienst
RZ314497,26,2,2,datumUitDienst
RY904811,26,3,2,datumUitDienst
RO535754,26,2,2,datumUitDienst
RV508707,26,2,2,medewerkerNaam
RZ213724,26,2,1,datumUitDienst
RO963476,25,3,2,datumUitDienst
RY862694,25,2,2,medewerkerNaam
RZ217228,25,2,2,medewerkerNaam
IC217877,24,4,2,datumUitDienst
RV805794,24,2,2,medewerkerCode
RZ246248,24,5,2,datumUitDienst
RX329559,24,2,2,medewerkerNaam
RX808747,24,2,1,medewerkerNaam
RZ317578,24,2,2,datumUitDienst
RZ108802,24,3,2,datumUitDienst
RX550922,24,2,1,datumUitDienst
RZ326872,24,2,2,datumUitDienst
RY938150,24,2,2,medewerkerNaam
RY710447,24,2,2,medewerkerNaam
RO662650,24,2,2,medewerkerNaam
RY815113,24,3,2,datumUitDienst
RY616709,24,2,2,datumUitDienst
RO224390,24,2,2,medewerkerNaam
RT168008,23,2,2,medewerkerNaam
RX917645,23,4,2,datumUitDienst
IC290407,23,2,2,medewerkerCode
RY393132,22,2,2,medewerkerCode
RZ272232,22,2,1,datumUitDienst
IC270258,22,2,1,medewerkerCode
RP772967,22,3,1,datumUitDienst
RX333449,22,2,1,medewerkerNaam
RX455728,22,4,1,datumUitDienst
RX473516,22,2,2,datumUitDienst
RZ170376,22,3,1,datumUitDienst
IC113775,22,2,2,datumUitDienst
RY1005611,22,2,1,datumUitDienst
RZ178881,22,2,2,medewerkerNaam
RX564130,22,2,2,medewerkerNaam
RY950276,22,2,2,medewerkerNaam
RY1005539,22,2,2,medewerkerNaam
RZ245945,22,2,2,medewerkerNaam
RU698337,21,3,2,datumUitDienst
IC259448,21,3,1,datumUitDienst
IC296504,21,1,2,medewerkerCode
IC280334,21,2,2,medewerkerNaam
IC235023,20,2,1,datumUitDienst
IC159590,20,2,2,datumUitDienst
RY995467,20,2,2,datumUitDienst
IC257460,20,3,2,datumUitDienst
RZ247420,20,3,1,datumUitDienst
IC109406,20,3,2,datumUitDienst
RZ215924,20,3,2,datumUitDienst
RY795760,20,2,2,medewerkerNaam
RO603554,20,2,2,datumUitDienst
RY641846,20,2,2,medewerkerNaam
RQ579208,20,2,1,datumUitDienst
RT986224,20,3,1,datumUitDienst
RO728943,20,3,2,datumUitDienst
UA006266,20,2,2,datumUitDienst
RZ350877,20,2,2,medewerkerNaam
RX493524,20,2,2,medewerkerCode
RY620852,20,3,2,datumUitDienst
RY469070,20,3,2,medewerkerNaam
RX559600,20,3,2,medewerkerCode
RY200599,20,2,2,datumUitDienst
RX593624,19,2,2,medewerkerNaam
IC136830,19,2,2,medewerkerNaam
RP482811,19,2,2,datumUitDienst
RX536092,19,2,2,medewerkerCode
RZ185731,19,2,2,medewerkerNaam
RY407304,18,2,2,medewerkerNaam
RQ865554,18,2,2,datumUitDienst
RY533611,18,3,2,datumUitDienst
RY991138,18,2,1,datumUitDienst
RY862623,18,3,2,datumUitDienst
RW754632,18,2,2,medewerkerNaam
RZ262922,18,3,2,datumUitDienst
RY684971,18,2,1,medewerkerNaam
IC209664,18,2,2,datumUitDienst
RX490599,18,3,2,datumUitDienst
RU389639,18,2,1,datumUitDienst
IC231263,18,2,2,datumUitDienst
RO303139,18,2,2,datumUitDienst
UA006881,18,2,2,medewerkerNaam
RP581823,18,2,2,datumUitDienst
RY699607,18,2,2,medewerkerNaam
IC267363,18,2,2,medewerkerNaam
RU125694,18,2,2,medewerkerCode
RX826755,18,2,2,datumUitDienst
RZ290015,18,2,2,medewerkerNaam
RY862437,18,3,2,datumUitDienst
RX809556,18,2,2,medewerkerNaam
RO488558,18,2,1,datumUitDienst
RY992264,18,2,2,medewerkerNaam
RV344229,18,2,2,medewerkerNaam
RY527317,18,2,2,datumUitDienst
RX587664,18,2,2,medewerkerNaam
RO458391,18,3,1,datumUitDienst
IC247614,17,2,2,datumUitDienst
RX422190,17,1,2,medewerkerCode
RS762502,17,2,1,medewerkerNaam
RX635956,17,3,2,datumUitDienst
RU669877,17,3,1,datumUitDienst
RZ319892,17,2,2,medewerkerNaam
RU126487,17,3,2,datumUitDienst
RX815375,16,2,2,medewerkerCode
RZ349495,16,3,2,medewerkerNaam
RY826639,16,2,2,datumUitDienst
IC175786,16,2,2,medewerkerCode
RS432887,16,2,2,medewerkerCode
RX865723,16,2,2,medewerkerNaam
RV617203,16,2,2,datumUitDienst
RW143212,16,2,2,medewerkerNaam
RP398484,16,2,2,medewerkerNaam
RS457518,16,2,2,datumUitDienst
RY588080,16,2,2,medewerkerNaam
RY104046,16,2,2,medewerkerNaam
RX620088,16,2,2,medewerkerNaam
RZ314936,16,2,1,medewerkerNaam
IC207146,16,2,1,medewerkerCode
RX872198,16,2,2,datumUitDienst
RO864156,16,3,2,datumUitDienst
RX345785,16,3,2,datumUitDienst
UA000238,16,3,1,datumUitDienst
RZ179504,16,3,1,datumUitDienst
RX179315,16,2,2,datumUitDienst
RY1001872,16,2,1,medewerkerNaam
IC283297,16,2,2,medewerkerCode
IC210125,16,3,2,datumUitDienst
RZ336745,16,2,2,medewerkerNaam
IC255651,16,2,2,medewerkerCode
RW586901,16,2,2,datumUitDienst
RY991702,16,2,2,medewerkerNaam
IC212980,16,3,2,datumUitDienst
IC227685,16,3,2,datumUitDienst
RV546104,16,4,1,medewerkerNaam
IC137270,15,2,2,medewerkerNaam
RY675302,15,2,2,medewerkerNaam
RX630721,15,3,2,medewerkerNaam
RZ211997,15,2,1,medewerkerNaam
IC229245,15,2,2,datumUitDienst
RW982076,14,3,2,datumUitDienst
IC267577,14,2,2,datumUitDienst
RS495174,14,3,2,datumUitDienst
RV439387,14,3,2,datumUitDienst
RY501609,14,2,1,medewerkerNaam
RX376617,14,2,1,medewerkerNaam
RX767978,14,2,2,medewerkerCode
RY868178,14,2,2,medewerkerNaam
IC244182,14,2,2,medewerkerNaam
RZ251193,14,2,1,medewerkerCode
RX940662,14,2,2,medewerkerCode
UA008919,14,2,2,datumUitDienst
RZ208558,14,2,2,medewerkerNaam
RZ322365,14,2,2,medewerkerNaam
IC235204,14,2,2,datumUitDienst
RZ172509,14,2,1,datumUitDienst
RZ243394,14,3,2,datumUitDienst
IC285518,14,3,2,datumUitDienst
RY963394,14,2,1,medewerkerNaam
RQ679496,14,2,1,datumUitDienst
RZ140876,14,2,2,datumUitDienst
RZ149789,14,2,1,medewerkerNaam
RY748604,14,2,1,datumUitDienst
RZ319835,14,2,2,datumUitDienst
RX391582,14,2,2,datumUitDienst
RO974896,14,2,2,medewerkerNaam
RX456816,14,2,2,medewerkerNaam
UA000545,14,2,1,medewerkerNaam
RZ315423,14,3,1,medewerkerNaam
RZ321613,14,2,2,datumUitDienst
RY892276,14,2,2,datumUitDienst
IC294239,14,2,1,medewerkerCode
RY913551,14,3,2,medewerkerCode
IC291014,14,2,1,medewerkerNaam
IC269909,14,2,2,medewerkerNaam
